portfolio_name,constraint_id,exposure_value,threshold_value,denominator_value,exposure_pct_denominator,limit_pct,compliance_status,breach_amount,data_quality_flag,constraint_name,implementation_status,constraint_origin
Current_Portfolio,COVERAGE_GLOBAL,509032582.0402451,261164044.33557004,261164044.33557004,1.949091358786696,1.0,COMPLIANT,0.0,OK,Couverture globale des provisions techniques,ENFORCED,LEGAL_REGULATORY
Current_Portfolio,STATE_MIN_20_PT,114927783.44993006,52232808.86711401,261164044.33557004,0.4400597476667163,0.2,COMPLIANT,0.0,OK,Titres émis ou garantis par l'État >= 20% PT,ENFORCED,LEGAL_REGULATORY
Current_Portfolio,REAL_ESTATE_TOTAL_MAX_20_PT,25860875.370495003,52232808.86711401,261164044.33557004,0.09902157640531224,0.2,COMPLIANT,0.0,OK,Immobilier total <= 20% PT,POST_CHECK,LEGAL_REGULATORY
Current_Portfolio,SICAR_TOTAL_MAX_10_PT,5215648.67154,26116404.433557004,261164044.33557004,0.019970776164112414,0.1,COMPLIANT,0.0,OK,SICAR/SICAF total <= 10% PT,POST_CHECK,LEGAL_REGULATORY
Current_Portfolio,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::AMEN_BANK,7042399.999999976,26116404.433557004,261164044.33557004,0.026965427105084903,0.1,COMPLIANT,0.0,OK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::AMEN_BANK,,LEGAL_REGULATORY
Current_Portfolio,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ATTIJARI_BANK,5382838.969999984,26116404.433557004,261164044.33557004,0.020610949656927377,0.1,COMPLIANT,0.0,OK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ATTIJARI_BANK,,LEGAL_REGULATORY
Current_Portfolio,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BIAT,2219999.999999994,26116404.433557004,261164044.33557004,0.008500404432194781,0.1,COMPLIANT,0.0,OK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BIAT,,LEGAL_REGULATORY
Current_Portfolio,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BT,44799.999999995736,26116404.433557004,261164044.33557004,0.00017153969304607703,0.1,COMPLIANT,0.0,OK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BT,,LEGAL_REGULATORY
Current_Portfolio,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::CITY_CARS,353161.8999999738,26116404.433557004,261164044.33557004,0.0013522608018207726,0.1,COMPLIANT,0.0,OK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::CITY_CARS,,LEGAL_REGULATORY
Current_Portfolio,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::DELICE_HOLDING,1407931.7999999744,26116404.433557004,261164044.33557004,0.00539098635718369,0.1,COMPLIANT,0.0,OK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::DELICE_HOLDING,,LEGAL_REGULATORY
